exposure_base,datetime_utc,date_dir,filter,raw_path,selection_method,status,hdu_index,chip_name,ccdnum,x,y,distance_pix,uncertainty_pix,margin_pix,ra_deg,dec_deg,mjd,output_path,skip_reason
c4d_141018_043456_ooi_g_ls10,2014-10-18T04:29:56.088767Z,2014-10-18,g,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_043456_ooi_g_ls10/c4d_141018_043456_ooi_g_ls10.fits.fz,wcs_uncertainty_overlap,selected,25,S2,26,2048.615,2483.481,2.615,5.521,5.521,9.275255599,0.835793781,56948.187454731,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_043456_ooi_g_ls10_chip25-S2.fits,
c4d_141018_044343_ooi_g_ls10,2014-10-18T04:38:43.970493Z,2014-10-18,g,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_044343_ooi_g_ls10/c4d_141018_044343_ooi_g_ls10.fits.fz,png_chip,selected,25,S2,26,1797.473,2256.551,0.000,5.521,5.521,9.274845511,0.835527659,56948.193564473,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_044343_ooi_g_ls10_chip25-S2.fits,
c4d_141018_045232_ooi_g_ls10,2014-10-18T04:47:32.086208Z,2014-10-18,g,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_045232_ooi_g_ls10/c4d_141018_045232_ooi_g_ls10.fits.fz,,skipped,,,,,,,5.521,5.521,9.274435386,0.835261427,56948.199676924,,target center outside all chips beyond uncertainty margin
c4d_141018_050120_ooi_g_ls10,2014-10-18T04:56:21.085216Z,2014-10-18,g,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_050120_ooi_g_ls10/c4d_141018_050120_ooi_g_ls10.fits.fz,png_chip,selected,32,N2,33,83.918,2248.754,0.000,5.521,5.521,9.274024736,0.834994760,56948.205799597,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_050120_ooi_g_ls10_chip32-N2.fits,
c4d_141018_051006_ooi_g_ls10,2014-10-18T05:05:08.436186Z,2014-10-18,g,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_051006_ooi_g_ls10/c4d_141018_051006_ooi_g_ls10.fits.fz,png_chip,selected,32,N2,33,87.117,2466.103,0.000,5.525,5.525,9.273615541,0.834728932,56948.211903197,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_051006_ooi_g_ls10_chip32-N2.fits,
c4d_141018_051855_ooi_g_ls10,2014-10-18T05:13:56.968928Z,2014-10-18,g,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_051855_ooi_g_ls10/c4d_141018_051855_ooi_g_ls10.fits.fz,png_chip,selected,32,N2,33,93.965,2692.716,0.000,5.525,5.525,9.273205622,0.834462517,56948.218020474,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_051855_ooi_g_ls10_chip32-N2.fits,
c4d_141018_052746_ooi_g_ls10,2014-10-18T05:22:45.910281Z,2014-10-18,g,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_052746_ooi_g_ls10/c4d_141018_052746_ooi_g_ls10.fits.fz,,skipped,,,,,,,5.525,5.525,9.272795593,0.834195905,56948.224142480,,target center outside all chips beyond uncertainty margin
c4d_141018_053632_ooi_g_ls10,2014-10-18T05:31:34.503563Z,2014-10-18,g,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_053632_ooi_g_ls10/c4d_141018_053632_ooi_g_ls10.fits.fz,png_chip,selected,25,S2,26,1831.694,2672.134,0.000,5.525,5.525,9.272386057,0.833929479,56948.230260458,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_053632_ooi_g_ls10_chip25-S2.fits,
c4d_141018_054527_ooi_g_ls10,2014-10-18T05:40:22.799732Z,2014-10-18,g,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_054527_ooi_g_ls10/c4d_141018_054527_ooi_g_ls10.fits.fz,,skipped,,,,,,,5.525,5.525,9.271976989,0.833663211,56948.236374997,,target center outside all chips beyond uncertainty margin
c4d_141018_055410_ooi_g_ls10,2014-10-18T05:49:11.125001Z,2014-10-18,g,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_055410_ooi_g_ls10/c4d_141018_055410_ooi_g_ls10.fits.fz,,skipped,,,,,,,5.529,5.529,9.271568152,0.833396939,56948.242489873,,target center outside all chips beyond uncertainty margin
c4d_141018_060209_ooi_r_ls10,2014-10-18T05:57:34.624699Z,2014-10-18,r,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_060209_ooi_r_ls10/c4d_141018_060209_ooi_r_ls10.fits.fz,,skipped,,,,,,,5.529,5.529,9.271178772,0.833143188,56948.248317415,,target center outside all chips beyond uncertainty margin
c4d_141018_061008_ooi_r_ls10,2014-10-18T06:05:32.971361Z,2014-10-18,r,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_061008_ooi_r_ls10/c4d_141018_061008_ooi_r_ls10.fits.fz,png_chip,selected,25,S2,26,1864.907,2180.063,0.000,5.529,5.529,9.270809080,0.832902122,56948.253853835,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/r/c4d_141018_061008_ooi_r_ls10_chip25-S2.fits,
c4d_141018_061806_ooi_r_ls10,2014-10-18T06:13:30.427023Z,2014-10-18,r,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_061806_ooi_r_ls10/c4d_141018_061806_ooi_r_ls10.fits.fz,,skipped,,,,,,,5.529,5.529,9.270440316,0.832661512,56948.259379942,,target center outside all chips beyond uncertainty margin
c4d_141018_062606_ooi_r_ls10,2014-10-18T06:21:27.754969Z,2014-10-18,r,/Volumes/uranus/COC/SBSAR/2013_RN30/CTIO-4m_DECam/c4d_141018_062606_ooi_r_ls10/c4d_141018_062606_ooi_r_ls10.fits.fz,png_chip,selected,32,N2,33,152.963,2402.673,0.000,5.529,5.529,9.270071898,0.832420976,56948.264904571,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/r/c4d_141018_062606_ooi_r_ls10_chip32-N2.fits,
