iso_date,jd,band,dRA_arcsec,dDec_arcsec,included,note1,note2,flags
2014-10-18T04:38:43.584Z,2456948.69356,g,0.029,-0.121,1, ,C,0
2014-10-18T04:56:21.120Z,2456948.7058,g,-0.015,-0.101,1, ,C,0
2014-10-18T05:05:08.160Z,2456948.7119,g,-0.043,-0.145,1, ,C,0
2014-10-18T05:13:56.928Z,2456948.71802,g,-0.067,-0.186,1, ,C,0
2014-10-18T05:31:34.464Z,2456948.73026,g,0.0336,-0.0666,1, ,C,0
2014-10-18T06:05:32.640Z,2456948.75385,r,0.0099,-0.0686,1, ,C,0
2014-10-18T06:21:27.360Z,2456948.7649,r,-0.036,-0.137,1, ,C,0
2014-10-18T06:37:24.672Z,2456948.77598,r,0.071,-0.1,1, ,C,0
2014-10-18T07:06:45.504Z,2456948.79636,i,-0.002,-0.106,1, ,C,0
2014-10-18T07:19:21.504Z,2456948.80511,i,-0.013,-0.035,1, ,C,0
2014-10-29T05:01:03.648Z,2456959.70907,r,0.034,-0.108,1, ,C,0
2016-12-23T03:34:12.864Z,2457745.64876,i,-0.105,0.135,1, ,C,0
2016-12-23T03:36:12.096Z,2457745.65014,r,-0.0617,0.034,1, ,C,0
2016-12-25T03:11:23.424Z,2457747.63291,i,0.141,-0.054,1, ,C,0
2016-12-25T03:13:22.656Z,2457747.63429,g,0.019,-0.0629,1, ,C,0
