catalog_token,julian_date,mag,mag_sig,ra_deg,dec_deg,pred_minus_ra_arcsec,pred_minus_dec_arcsec,manual_ra_offset_arcsec,manual_dec_offset_arcsec,exptime,zeropoint,zeropoint_sig,inst_mag,inst_mag_sig,phot_cat,band,sextractor_flag,instrument,photometry_method,fwhm,mag_src_sig,mag_cal_sig,mag_tot_sig,ra_src_sig,dec_src_sig,pos_src_sig,ra_ast_sig,dec_ast_sig,pos_ast_sig,ra_tot_sig,dec_tot_sig,pos_tot_sig,source_photometry_file,source_fits_file
c4d_141018_044343_ooi_g_ls10_chip25,2456948.6935645,22.5829,0.0573,9.27481699,+0.83549785,0.10,0.11,0.00,0.00,500.00,31.6825,0.0518,-9.0996,0.0245,SDSS-R9,g,0,DECam,APER,1.71,0.0245,0.0518,0.0573,0.0177,0.0177,0.0251,0.1154,0.0772,0.1389,0.1168,0.0792,0.1411,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/photometry_2013_RN30.dat,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_044343_ooi_g_ls10_chip25-S2.fits
c4d_141018_050120_ooi_g_ls10_chip32,2456948.7057996,22.5601,0.0581,9.27400247,+0.83497075,0.08,0.09,0.00,0.00,500.00,31.6462,0.0518,-9.0861,0.0264,SDSS-R9,g,0,DECam,APER,1.74,0.0264,0.0518,0.0581,0.0195,0.0194,0.0275,0.0982,0.0873,0.1314,0.1001,0.0894,0.1343,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/photometry_2013_RN30.dat,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_050120_ooi_g_ls10_chip32-N2.fits
c4d_141018_051006_ooi_g_ls10_chip32,2456948.7119032,22.5919,0.0593,9.27358011,+0.83470120,0.13,0.10,0.00,0.00,500.00,31.6419,0.0527,-9.0501,0.0272,SDSS-R9,g,0,DECam,APER,1.88,0.0272,0.0527,0.0593,0.0208,0.0207,0.0293,0.0887,0.0886,0.1254,0.0911,0.0910,0.1288,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/photometry_2013_RN30.dat,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_051006_ooi_g_ls10_chip32-N2.fits
c4d_141018_051855_ooi_g_ls10_chip32,2456948.7180205,22.4907,0.0606,9.27316691,+0.83442701,0.14,0.13,0.00,0.00,500.00,31.5763,0.0545,-9.0856,0.0266,SDSS-R9,g,0,DECam,APER,2.11,0.0266,0.0545,0.0606,0.0220,0.0220,0.0310,0.1003,0.0905,0.1351,0.1027,0.0931,0.1386,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/photometry_2013_RN30.dat,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_051855_ooi_g_ls10_chip32-N2.fits
c4d_141018_053632_ooi_g_ls10_chip25,2456948.7302605,22.4708,0.0616,9.27236842,+0.83390646,0.06,0.08,0.00,0.00,500.00,31.6443,0.0569,-9.1735,0.0236,SDSS-R9,g,0,DECam,APER,1.69,0.0236,0.0569,0.0616,0.0180,0.0180,0.0255,0.1133,0.0793,0.1383,0.1148,0.0814,0.1407,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/photometry_2013_RN30.dat,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/g/c4d_141018_053632_ooi_g_ls10_chip25-S2.fits
c4d_141018_061008_ooi_r_ls10_chip25,2456948.7538538,21.8695,0.0702,9.27079083,+0.83287726,0.07,0.09,0.00,0.00,450.00,31.7138,0.0670,-9.8443,0.0211,SDSS-R9,r,0,DECam,APER,1.57,0.0211,0.0670,0.0702,0.0147,0.0147,0.0208,0.1266,0.0849,0.1524,0.1274,0.0861,0.1538,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/r/photometry_2013_RN30.dat,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/r/c4d_141018_061008_ooi_r_ls10_chip25-S2.fits
c4d_141018_062606_ooi_r_ls10_chip32,2456948.7649046,21.8678,0.0686,9.27004247,+0.83240254,0.11,0.07,0.00,0.00,450.00,31.6633,0.0643,-9.7955,0.0238,SDSS-R9,r,0,DECam,APER,1.91,0.0238,0.0643,0.0686,0.0198,0.0198,0.0280,0.0963,0.0941,0.1346,0.0983,0.0962,0.1375,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/r/photometry_2013_RN30.dat,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/r/c4d_141018_062606_ooi_r_ls10_chip32-N2.fits
c4d_141018_064159_ooi_r_ls10_chip25,2456948.7759799,21.9510,0.0739,9.26931264,+0.83192355,0.08,0.05,0.00,0.00,450.00,31.6621,0.0693,-9.7111,0.0258,SDSS-R9,r,0,DECam,APER,1.85,0.0258,0.0693,0.0739,0.0201,0.0201,0.0284,0.1213,0.0822,0.1466,0.1230,0.0846,0.1493,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/r/photometry_2013_RN30.dat,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/r/c4d_141018_064159_ooi_r_ls10_chip25-S2.fits
c4d_141018_071029_ooi_i_ls11_chip25,2456948.7963572,21.7133,0.0906,9.26795240,+0.83103028,0.10,0.08,0.00,0.00,350.00,31.2556,0.0775,-9.5423,0.0469,SDSS-R9,i,0,DECam,APER,2.06,0.0469,0.0775,0.0906,0.0335,0.0335,0.0474,0.1109,0.0675,0.1298,0.1158,0.0753,0.1381,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/i/photometry_2013_RN30.dat,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/i/c4d_141018_071029_ooi_i_ls11_chip25-S2.fits
c4d_141018_072306_ooi_i_ls11_chip25,2456948.8051061,21.6504,0.0939,9.26738464,+0.83066465,0.05,0.02,0.00,0.00,350.00,31.2617,0.0823,-9.6114,0.0452,SDSS-R9,i,0,DECam,APER,2.03,0.0452,0.0823,0.0939,0.0349,0.0350,0.0494,0.1186,0.0709,0.1382,0.1236,0.0791,0.1468,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/i/photometry_2013_RN30.dat,/Users/orionadmin/GitHub/photometrypipeline/PP/2014-10-18/i/c4d_141018_072306_ooi_i_ls11_chip25-S2.fits
